textid: 0   predict_label: ['bug', 'needs-more-info', '*caused-by-extension', 'debug', '*duplicate']

textid: 1   predict_label: ['needs-more-info', '*caused-by-extension', '*duplicate', 'bug', 'feature-request']

textid: 2   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 3   predict_label: ['feature-request', '*duplicate', 'bug', 'needs-more-info', '*question']

textid: 4   predict_label: ['bug', 'feature-request', '*duplicate', 'needs-more-info', '*question']

textid: 5   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*as-designed']

textid: 6   predict_label: ['feature-request', 'needs-more-info', 'bug', '*caused-by-extension', '*duplicate']

textid: 7   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 8   predict_label: ['bug', 'needs-more-info', 'feature-request', '*duplicate', '*caused-by-extension']

textid: 9   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 10   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 11   predict_label: ['bug', 'needs-more-info', '*caused-by-extension', '*duplicate', 'feature-request']

textid: 12   predict_label: ['needs-more-info', 'bug', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 13   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 14   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 15   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 16   predict_label: ['bug', '*caused-by-extension', 'debug', '*duplicate', 'needs-more-info']

textid: 17   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 18   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 19   predict_label: ['needs-more-info', '*duplicate', 'feature-request', 'bug', '*caused-by-extension']

textid: 20   predict_label: ['bug', 'needs-more-info', '*caused-by-extension', 'feature-request', '*duplicate']

textid: 21   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 22   predict_label: ['feature-request', '*duplicate', '*caused-by-extension', 'needs-more-info', 'bug']

textid: 23   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 24   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 25   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 26   predict_label: ['*duplicate', '*caused-by-extension', 'needs-more-info', 'bug', 'feature-request']

textid: 27   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*question']

textid: 28   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', 'feature-request']

textid: 29   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', '*question']

textid: 30   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 31   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*as-designed', 'feature-request']

textid: 32   predict_label: ['*caused-by-extension', 'needs-more-info', 'bug', '*duplicate', '*question']

textid: 33   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*as-designed', '*question']

textid: 34   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 35   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 36   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 37   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', '*question']

textid: 38   predict_label: ['*duplicate', 'needs-more-info', 'bug', '*caused-by-extension', '*question']

textid: 39   predict_label: ['*caused-by-extension', 'needs-more-info', '*duplicate', 'bug', '*question']

textid: 40   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 41   predict_label: ['needs-more-info', '*duplicate', '*question', 'bug', '*caused-by-extension']

textid: 42   predict_label: ['*duplicate', 'feature-request', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 43   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 44   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 45   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 46   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 47   predict_label: ['feature-request', 'needs-more-info', 'bug', '*duplicate', 'debug']

textid: 48   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', '*caused-by-extension']

textid: 49   predict_label: ['*duplicate', 'bug', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 50   predict_label: ['needs-more-info', 'bug', '*question', '*duplicate', '*caused-by-extension']

textid: 51   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', '*question']

textid: 52   predict_label: ['feature-request', 'bug', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 53   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 54   predict_label: ['bug', '*duplicate', '*caused-by-extension', 'needs-more-info', 'feature-request']

textid: 55   predict_label: ['bug', '*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request']

textid: 56   predict_label: ['*caused-by-extension', '*duplicate', 'feature-request', 'bug', 'needs-more-info']

textid: 57   predict_label: ['*duplicate', 'feature-request', 'needs-more-info', 'bug', '*caused-by-extension']

textid: 58   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 59   predict_label: ['bug', '*question', '*duplicate', '*caused-by-extension', 'needs-more-info']

textid: 60   predict_label: ['feature-request', '*duplicate', 'bug', 'needs-more-info', '*caused-by-extension']

textid: 61   predict_label: ['bug', '*duplicate', 'feature-request', '*caused-by-extension', 'debug']

textid: 62   predict_label: ['bug', '*duplicate', 'feature-request', 'needs-more-info', '*caused-by-extension']

textid: 63   predict_label: ['bug', 'feature-request', '*duplicate', 'needs-more-info', '*caused-by-extension']

textid: 64   predict_label: ['needs-more-info', '*caused-by-extension', 'bug', '*duplicate', 'feature-request']

textid: 65   predict_label: ['*caused-by-extension', '*duplicate', 'feature-request', 'bug', 'needs-more-info']

textid: 66   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'feature-request', '*question']

textid: 67   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*question']

textid: 68   predict_label: ['bug', 'needs-more-info', '*duplicate', '*caused-by-extension', 'feature-request']

textid: 69   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', 'bug', 'debug']

textid: 70   predict_label: ['bug', '*as-designed', '*question', 'debug', 'needs-more-info']

textid: 71   predict_label: ['needs-more-info', '*duplicate', 'bug', '*caused-by-extension', 'feature-request']

textid: 72   predict_label: ['bug', '*caused-by-extension', '*duplicate', 'feature-request', 'needs-more-info']

textid: 73   predict_label: ['*duplicate', 'bug', 'needs-more-info', '*caused-by-extension', '*as-designed']

textid: 74   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', '*caused-by-extension']

textid: 75   predict_label: ['feature-request', 'bug', 'needs-more-info', '*duplicate', '*question']

textid: 76   predict_label: ['*duplicate', 'needs-more-info', '*caused-by-extension', '*question', 'bug']

textid: 77   predict_label: ['bug', 'needs-more-info', '*duplicate', 'feature-request', 'debug']

textid: 78   predict_label: ['*duplicate', 'bug', 'feature-request', '*as-designed', 'needs-more-info']

textid: 79   predict_label: ['bug', '*duplicate', 'needs-more-info', 'feature-request', 'debug']

