title,labels
Bot command to remove initial labels assigned by bot,"['engineering', 'issue-bot']"
Git : suggest stashing changes when switching branch,['git']
Remove dependency of ext host output service in ext host log service,"['debt', 'verification-needed']"
Tree Guide Indents not showing in latest Insiders (1.41),['confirmed']
TypeScript fails to load w/ git diff view,['integrated-terminal']
Impossible to copy extension description,['extensions']
Error creating issue,['integrated-terminal']
Cannot run vscode on Centos 7.,['integrated-terminal']
File duplicate,['*extension-candidate']
Allow order to be specified in context view/item/context menu,['*duplicate']
Cannot input with Chrome Extension Google Input Tool,"['chrome', 'web']"
Python snippets not working with Jupyter Notebook (.ipynb) files,"['*caused-by-extension', 'needs more info', 'snippets']"
Default formatter not used as default formatter in javascript file,['extensions']
2,['needs more info']
"Vscode has been used for a period of time, which makes the system stuck. You can only use it by forcing shutdown and restart the computer",['integrated-terminal']
"Remote-SSH: ""remote.SSH.path"" is an 'Unknown configuration setting' in settings.json ",['git']
i don't know why.  because connection is ok on putty,['needs more info']
Cannot type over closing parenthesis,['needs more info']
Re-open #85562 - Format document unfolds code,['needs more info']
GitHub is not connecting ,"['integrated-terminal', 'needs more info']"
Resize Pane Shortcut (Mac) Feature Request. ,['invalid']
"Reduce size of ""Compare selected"" tab name","['diff-editor', 'feature-request', 'workbench-editors']"
Jupyter Notebook  not formatting code correctly ,['*caused-by-extension']
css.lint.emptyRules has no effect,['needs more info']
Git: LFS support for image diffing,"['feature-request', 'git']"
Fix gitfs scheme check,['candidate']
Can't open Workspece in FirefoxReality,['extensions']
Python test discovery never finishes when git submodule present,"['*caused-by-extension', 'git']"
Assign pull requests that reference an assigned issues,"['engineering', 'issue-bot']"
GitFs: support proper e-tag handling,"['debt', 'git']"
"Smooth transition of explorer with the new ""Highlight file on active editor change"" feature","['feature-request', 'file-explorer']"
Extension profiler broken,"['bug', 'candidate', 'extension-host', 'regression', 'verified']"
Revisit handling of deleted/moved files in custom editors,"['custom editors', 'debt', 'under-discussion']"
Copy call stack broken,"['bug', 'candidate', 'debug', 'regression']"
Add default zoom option for image preview,['feature-request']
Support build-in inline-render inferred types in TypeScript,"['*extension-candidate', 'feature-request']"
alt property of a context menu item contributed by an extension has no effect,"['feature-request', 'menus']"
Error 'Overlapping ranges are not allowed!',['integrated-terminal']
Not able to install VS Code in macOS Catalina,['extensions']
link detection in debug-console results in fs-resolve errors in dev tools,"['bug', 'debug', 'debug-console']"
git enabled ,"['git', 'invalid', 'needs more info']"
PROTEST! Why is the RedHat xml extension shown as the 1st place in the search result?,['extensions']
Extension tab doesn't work,"['extensions', 'needs more info']"
Intelliphense can't identify some classes in laravel.,"['*caused-by-extension', 'integrated-terminal']"
Allow Profiles to manage enabled Extensions,"['extensions', 'needs more info']"
CompressedNavigationController ends with outdated state after startup,"['bug', 'candidate', 'file-explorer', 'verified']"
feat: Add editor selection evaluation for debugger,['debug']
Selection disappears when context menu open,['integrated-terminal']
cannot jump definition,"['*not-reproducible', 'typescript']"
Choose Folder \ Directory for Task ?,"['*duplicate', 'tasks']"
Terminal unusable after closing laptop lid,"['*duplicate', 'integrated-terminal']"
diffDecorationsGutterWidth doesn't work,['*duplicate']
Keybindings.json is opened in broken editor,"['confirmation-pending', 'needs more info']"
Support local paths in hover MarkdownString,"['feature-request', 'markdown']"
"Closing untitled editor and picking ""Save"" does not close editor","['bug', 'candidate', 'regression', 'verified']"
*.json and debugging,"['invalid', 'needs more info']"
Renaming files directly from tabs,['*duplicate']
Ask before overwriting when dragging a file from outside of VSCode to the Explorer view,['*duplicate']
Terminal not working,['integrated-terminal']
"Open editors: briefly shows ""1 unsaved"" even though auto save is on","['bug', 'candidate', 'regression', 'verified']"
Add the global settings of extensions,['*caused-by-extension']
Image editor: does not support preview anymore,"['bug', 'custom editors']"
abnormal markdown preview,"['*duplicate', 'markdown']"
No face for vscode at all,['*duplicate']
Tasks don't work if powershell profile changes directory,"['needs more info', 'tasks']"
Multiline highlighting disappears on some lines,['*duplicate']
Support for PyMdown Extensions in Markdown Preview,"['*extension-candidate', 'markdown']"
Debian package repository URL doesn't use HTTPS,['*as-designed']
Can't run Flask app to gebug - terminals don't work properly,['*caused-by-extension']
Global custom font.,['*duplicate']
"Missing crossorigin=""use-credentials"" to manifest.json link for basic auth",['*out-of-scope']
VSCode: long lines on terminal,['integrated-terminal']
Text colorization for Lolcode and ArnoldC,['*extension-candidate']
"Insiders - When using a UNC, unable to read file for working tree changes ","['candidate', 'confirmed', 'git', 'important', 'regression']"
 integrated terminal ,"['integrated-terminal', 'needs more info']"
TypeScript Language service died (MacOS),['javascript']
Code Randomly Swaps Out,['needs more info']
Visual Studio Code's Java Compiler Not Showing Certain Errors,['*caused-by-extension']
Using C++ in VS-Code hassles & problems compared to Visual Studio 2019 community edition,['*caused-by-extension']
Variable evaluation for task input defaults,"['*duplicate', 'tasks']"
Indentation of html attributes should be the same after indenting the element ,"['*caused-by-extension', 'html']"
"VSCode lags and freezes, when OBS and Firefox are open in the background, or when left open for a long time.",['needs more info']
Add `function name` predefined variable for snippets,['*extension-candidate']
"Add ""Interaction set"" feature",['*extension-candidate']
Editor title control is not using SPAA,"['help wanted', 'lcd-text-rendering', 'workbench-editors']"
Settings editor do not retain filters when moved across editor groups,"['bug', 'help wanted', 'settings-editor']"
Monitor and report resource consuming plugins + opt in for reporting plugin resource consumption in market place,"['extensions', 'feature-request', 'workbench-diagnostics']"
unable to input chinese chars on ubuntu 19.10,['integrated-terminal']
Intendation based folding in Markdown Language Mode,"['*question', 'markdown']"
Activity bar debug icon left white border not shown when debug startView is active,"['bug', 'debug']"
Toggle between default and custom editors,"['help wanted', 'markdown']"
multiprocessing.Pool in python in remote debug,['*caused-by-extension']
Autocomplete 'string' to 'String' after input dot or comma,['*caused-by-extension']
"`""files.autoSave"": ""onFocusChange""` breaks preview editors","['bug', 'candidate', 'regression', 'verified']"
"""Open Definition to Side"" doesn't reuse preview tab",['markdown']
SASS autocompletions in @use don't replace existing text,"['bug', 'css-less-scss']"
[Search Editor] Context does not work for open files,"['bug', 'search-editor']"
My activity bar is blue!,['needs more info']
References codelens for every plain object property since TypeScript 3.7,"['bug', 'javascript']"
Viewlet gets narrower after zooming in and out,['*as-designed']
Long branch name shows wrong icon,['*duplicate']
"Duplicate ""Clear Search"" and ""No Settings Found""  in settings-editor","['bug', 'search']"
Find not usable when in native ipynb ,['*caused-by-extension']
References for all SASS functions/at-rules,"['css-less-scss', 'feature-request']"
rename symbol issue,"['*caused-by-extension', 'needs more info']"
"""Download"" action workflow is inefficient when many items are selected","['feature-request', 'file-explorer']"
VSC too slow,['needs more info']
Programatically scroll hovers,"['api', 'editor-hover', 'feature-request']"
Move cursor with Alt+Click in Terminal has issues with wrapped lines,['integrated-terminal']
Switching language notification only has 1 button?,"['bug', 'i18n', 'ux']"
Web smoketest broken,['*duplicate']
"Move to new file doesnt move important import statements like ""import *""","['javascript', 'upstream-issue-linked']"
VS Code Freezes When Rendering Markdown,"['markdown', 'needs more info', 'webview']"
Unable to debug webpack bundle,['*question']
Terminal processes on Windows (conhost.exe) do not get destroyed/reused for build tasks,['integrated-terminal']
Stop Linux Gnome Code .desktop launcher defaulting to $HOME and using >1.5gig of memory for watcherService,"['*duplicate', 'file-watcher']"
Breakpoint and stackframe class name cleanup,"['debt', 'debug']"
Cannot open markdown preview on Edge,"['*duplicate', 'edge', 'webview']"
Python: IntelliCode does not show arguments from super class when using **kwargs.,['*caused-by-extension']
"Context menu actions are prefixed with ""Debug:""","['bug', 'debug']"
Add Information About Themes Shown In Release Notes,"['*duplicate', 'themes']"
Electron 7: macOS zip does not seem proper,"['confirmed', 'electron', 'electron-7-update', 'upstream-issue-linked']"
iPadOS: large white area appearing when editing watch expression,"['bug', 'safari', 'web']"
Powershell Core edxit with unexpeted error,"['integrated-terminal', 'needs more info']"
Minimap size setting acces made available via F1,"['editor-minimap', 'feature-request']"
"iPadOS: cannot move panes around (activity bar, panel)","['polish', 'safari', 'web']"
iPadOS: cannot resize sidebar via touch,"['polish', 'safari', 'web']"
Doubled cursor in HTML files causes doubled content,['*as-designed']
File preview doesn't refresh when run command creates a file.,['needs more info']
"""Stage Changes"" command should be called ""Add""",['git']
Bring back LCD rendering to workbench parts,"['debt', 'lcd-text-rendering']"
same file opened twice in different tabs,['*caused-by-extension']
